Brain Region,Homecage_1,Homecage_2,Homecage_3,Homecage_4,Homecage_5,Homecage_6,Context_1,Context_2,Context_3,Context_4,Context_5,Context_6,Context_7,Context_8,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Extinction_1,Extinction_2,Extinction_3,Extinction_4,Extinction_5,Extinction_6,Extinction_7
vDG,32.98173,48.84445,82.33717,79.51679,50.22966,61.93956,75.94704,75.8768,57.19761,66.51527,96.93594,76.20364,54.06595,73.0255,127.9562,52.7984,114.5421,127.213,84.06924,119.4288,95.34657,82.29794,91.59008,70.34242,74.80504,137.7692,93.31807,122.877,39.98977
vCA3,60.59755,83.37623,124.0368,82.58986,64.40363,81.91287,81.4955,35.50953,110.9871,123.3759,129.2844,114.7559,95.16721,87.04139,248.5602,118.012,125.2239,184.9224,121.1028,161.2023,165.3478,152.6043,146.4913,114.9578,193.3929,196.3318,134.7654,226.9479,135.5064
vCA1,150.2025,167.6816,183.0481,237.2038,128.4706,52.25514,144.9163,225.8112,162.4625,135.4148,278.7108,196.1943,166.4601,139.4374,392.6779,210.3677,287.8241,295.4543,285.9852,335.8096,142.9884,155.0272,273.494,225.1323,353.676,410.6014,271.5861,358.1915,139.0725
dDG,108.5374,126.9078,116.162,109.5996,89.06725,83.82529,122.7258,171.5643,102.4539,115.4121,148.0388,100.4809,95.79606,108.2117,224.7544,110.9184,223.5768,143.0773,136.1457,172.169,163.5348,133.3254,160.638,138.2874,150.7093,201.5188,149.864,123.9867,65.80023
dCA3,152.4087,192.9361,211.0797,254.249,231.4936,80.70105,176.6972,161.3145,140.4745,161.1742,236.735,170.1849,133.5364,112.0257,292.1279,125.6132,204.1522,185.6181,175.7797,222.606,160.042,113.1203,240.9341,160.5041,278.8906,321.915,196.5297,134.6899,101.8025
dCA1,232.243,243.6346,222.477,254.4391,95.38591,29.72522,136.6155,203.6697,137.3528,167.4323,257.0241,116.9731,163.7724,122.2284,370.0013,156.9438,242.398,182.6272,223.7018,270.4231,130.3186,88.19436,248.3157,181.9148,255.2761,319.9285,245.1884,209.3413,151.261
aNRe,,,204.9071,431.4325,150.8439,68.74986,,403.2351,254.8334,113.007,232.6938,125.6923,154.8257,264.918,920.9374,,,,271.6226,512.9262,188.296,101.7035,395.0803,386.0981,,,,,148.6958
NRe,128.4721,105.2736,164.5625,264.6838,202.5275,63.77844,233.33,192.9901,95.6115,137.3568,310.978,67.67349,213.1853,171.901,520.5399,408.4696,429.0026,329.8049,308.1807,461.7963,187.2102,253.5215,415.5904,268.9986,353.3583,475.9493,311.0418,414.358,217.589
AT,,,314.3407,,339.7981,193.4414,,520.3419,304.5209,361.8478,259.8574,417.5268,301.1208,422.3222,1127.655,,,496.4995,152.8102,595.2906,503.1411,456.968,393.0909,513.5135,,,,,232.5737
CM,61.40682,75.37847,523.4598,621.5284,337.3332,225.4865,435.2141,594.6925,598.3661,358.8201,363.014,359.7927,224.0724,560.333,682.765,224.9806,320.508,409.1038,312.3288,818.2352,309.4558,230.3078,391.7737,354.2558,368.0114,495.3636,320.402,335.5331,196.2013
MD,76.48991,52.08201,234.8806,254.7124,45.60772,79.72681,200.3099,176.542,29.98006,50.60447,81.40087,45.53715,55.42032,60.17316,312.6433,320.2356,207.113,225.2718,217.2779,312.7145,55.23814,78.39172,285.2336,235.6449,190.5703,253.9822,258.6417,303.6035,43.2763
PVT,659.5792,244.8451,739.547,1044.084,714.5847,641.2155,1306.957,754.5044,1025.504,754.2806,991.1232,976.7532,924.7965,687.3897,1187.945,893.9069,1120.303,1107.86,1312.952,1244.065,1007.285,555.7922,1156.65,910.2923,1131.28,1298.694,1168.854,918.0464,842.5465
BLA,179.1102,214.0261,177.7183,264.4729,113.4845,110.9787,254.01,201.641,191.4727,196.6412,200.2186,173.1009,191.545,199.3672,386.8473,316.5864,335.8739,209.3199,324.7781,361.7974,261.8311,205.5773,370.3808,213.87,317.4551,326.1991,324.5339,313.3792,159.3268
CEA,187.3226,203.1778,205.2869,281.7304,187.2623,177.43,306.5743,224.6816,183.3382,167.4489,208.8514,130.5946,168.6948,116.6631,338.5743,209.1528,323.2694,215.3487,276.846,318.8112,252.8093,217.8045,258.8975,281.139,281.5223,311.5372,219.7447,219.0873,171.5783
IL,317.1931,78.92674,199.3482,253.5107,162.0122,,656.8133,685.2057,847.215,301.7714,610.5372,412.5938,404.872,426.9205,774.4948,662.991,663.38,672.5397,944.8362,725.488,530.5513,661.49,606.9857,486.7137,483.2562,844.4813,681.5637,811.2179,567.2307
PL,371.1983,167.6716,230.4146,339.4471,150.5465,,538.2501,665.6357,478.5706,419.4936,701.5747,603.8416,410.4593,565.0635,877.7722,781.7968,1065.314,854.4375,1047.549,1053.673,515.6577,809.9758,827.2621,654.4219,749.8881,1120.751,686.2413,1163.367,602.9455
ACC,,,405.9109,609.3033,140.7599,358.0898,346.6505,410.0789,405.9431,289.203,544.3402,403.2019,308.3948,352.5666,,,801.7644,561.3282,702.3557,807.6096,300.5668,528.3045,,,558.4988,744.0964,412.4844,772.6647,318.178
RSPv,1053.793,871.0724,664.9013,813.4019,441.7088,,781.4836,669.9569,623.6702,544.6558,457.0649,600.2403,722.5263,678.4005,1220.767,899.5526,916.3745,756.8785,768.3466,1036.455,,759.1368,744.4111,801.6101,962.1296,961.501,1011.312,829.8782,661.5578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freezing,,,,,,,66,56,33,58,45,37,45,56,60,58,76,96,82,69,59,76,30,31,52,51,34,40,45
